top_list,author_name,author_link
Top 100 Authors last 30 days,"Shakespeare, William (226555)",/browse/authors/s#a65
Top 100 Authors last 30 days,"Shelley, Mary Wollstonecraft (167231)",/browse/authors/s#a61
Top 100 Authors last 30 days,"Dickens, Charles (140485)",/browse/authors/d#a37
Top 100 Authors last 30 days,"Smollett, T. (Tobias) (129566)",/browse/authors/s#a838
Top 100 Authors last 30 days,"Austen, Jane (119631)",/browse/authors/a#a68
Top 100 Authors last 30 days,"Twain, Mark (116505)",/browse/authors/t#a53
Top 100 Authors last 30 days,"Wilde, Oscar (95680)",/browse/authors/w#a111
Top 100 Authors last 30 days,"Dostoyevsky, Fyodor (90246)",/browse/authors/d#a314
Top 100 Authors last 30 days,"Melville, Herman (89244)",/browse/authors/m#a9
Top 100 Authors last 30 days,"Dumas, Alexandre (88147)",/browse/authors/d#a492
Top 100 Authors last 30 days,"Doyle, Arthur Conan (86182)",/browse/authors/d#a69
Top 100 Authors last 30 days,"Hawthorne, Nathaniel (78445)",/browse/authors/h#a28
Top 100 Authors last 30 days,"Montgomery, L. M. (Lucy Maud) (76530)",/browse/authors/m#a36
Top 100 Authors last 30 days,"Garnett, Constance (76323)",/browse/authors/g#a2858
Top 100 Authors last 30 days,"Maquet, Auguste (75231)",/browse/authors/m#a3930
Top 100 Authors last 30 days,"Alcott, Louisa May (74964)",/browse/authors/a#a102
Top 100 Authors last 30 days,"Carroll, Lewis (74369)",/browse/authors/c#a7
Top 100 Authors last 30 days,"Nietzsche, Friedrich Wilhelm (73651)",/browse/authors/n#a779
Top 100 Authors last 30 days,Plato (68542),/browse/authors/p#a93
Top 100 Authors last 30 days,"Eliot, George (67292)",/browse/authors/e#a90
Top 100 Authors last 30 days,"Stevenson, Robert Louis (66057)",/browse/authors/s#a35
Top 100 Authors last 30 days,"Jowett, Benjamin (63220)",/browse/authors/j#a94
Top 100 Authors last 30 days,"Forster, E. M. (Edward Morgan) (61452)",/browse/authors/f#a975
Top 100 Authors last 30 days,Homer (60309),/browse/authors/h#a705
Top 100 Authors last 30 days,"Merrill, Frank T. (56237)",/browse/authors/m#a6202
Top 100 Authors last 30 days,"Ibsen, Henrik (56197)",/browse/authors/i#a861
Top 100 Authors last 30 days,"Wells, H. G. (Herbert George) (54343)",/browse/authors/w#a30
Top 100 Authors last 30 days,"Gaskell, Elizabeth Cleghorn (51734)",/browse/authors/g#a220
Top 100 Authors last 30 days,"Tolstoy, Leo, graf (50897)",/browse/authors/t#a136
Top 100 Authors last 30 days,"Poe, Edgar Allan (50168)",/browse/authors/p#a481
Top 100 Authors last 30 days,"Foote, Mary Hallock (49827)",/browse/authors/f#a2703
Top 100 Authors last 30 days,"Widger, David (49539)",/browse/authors/w#a1961
Top 100 Authors last 30 days,"Ipsen, Ludvig Sandöe (49270)",/browse/authors/i#a31265
Top 100 Authors last 30 days,"Anthony, A. V. S. (Andrew Varick Stout) (49270)",/browse/authors/a#a31267
Top 100 Authors last 30 days,"Von Arnim, Elizabeth (47269)",/browse/authors/v#a603
Top 100 Authors last 30 days,"Fielding, Henry (45777)",/browse/authors/f#a537
Top 100 Authors last 30 days,"Swift, Jonathan (44891)",/browse/authors/s#a326
Top 100 Authors last 30 days,"Wagner, Richard (44696)",/browse/authors/w#a1325
Top 100 Authors last 30 days,"Rizal, José (44672)",/browse/authors/r#a2183
Top 100 Authors last 30 days,"Irving, Washington (44382)",/browse/authors/i#a34
Top 100 Authors last 30 days,"Hugo, Victor (44332)",/browse/authors/h#a85
Top 100 Authors last 30 days,"Brock, C. E. (Charles Edmund) (43959)",/browse/authors/b#a26815
Top 100 Authors last 30 days,"Kafka, Franz (43818)",/browse/authors/k#a1735
Top 100 Authors last 30 days,"Verne, Jules (43407)",/browse/authors/v#a60
Top 100 Authors last 30 days,"Doré, Gustave (42305)",/browse/authors/d#a1896
Top 100 Authors last 30 days,"Cervantes Saavedra, Miguel de (41806)",/browse/authors/c#a505
Top 100 Authors last 30 days,"Stoker, Bram (40510)",/browse/authors/s#a190
Top 100 Authors last 30 days,"Joyce, James (39556)",/browse/authors/j#a1039
Top 100 Authors last 30 days,"Fitzgerald, F. Scott (Francis Scott) (38613)",/browse/authors/f#a420
Top 100 Authors last 30 days,"Conrad, Joseph (38565)",/browse/authors/c#a125
Top 100 Authors last 30 days,"Wyllie, David (Translator) (36309)",/browse/authors/w#a1736
Top 100 Authors last 30 days,Dante Alighieri (35225),/browse/authors/d#a507
Top 100 Authors last 30 days,"James, Henry (34886)",/browse/authors/j#a113
Top 100 Authors last 30 days,"Chesterton, G. K. (Gilbert Keith) (34656)",/browse/authors/c#a80
Top 100 Authors last 30 days,"Kipling, Rudyard (34184)",/browse/authors/k#a132
Top 100 Authors last 30 days,"Lang, Andrew (33963)",/browse/authors/l#a79
Top 100 Authors last 30 days,"London, Jack (33848)",/browse/authors/l#a120
Top 100 Authors last 30 days,"Gilman, Charlotte Perkins (33607)",/browse/authors/g#a27
Top 100 Authors last 30 days,"Baum, L. Frank (Lyman Frank) (33602)",/browse/authors/b#a42
Top 100 Authors last 30 days,"Chekhov, Anton Pavlovich (32712)",/browse/authors/c#a708
Top 100 Authors last 30 days,"Morley, Henry (31956)",/browse/authors/m#a1355
Top 100 Authors last 30 days,"Russell, Bertrand (31838)",/browse/authors/r#a355
Top 100 Authors last 30 days,"Pope, Alexander (31678)",/browse/authors/p#a907
Top 100 Authors last 30 days,"Goethe, Johann Wolfgang von (31602)",/browse/authors/g#a586
Top 100 Authors last 30 days,"Balzac, Honoré de (31560)",/browse/authors/b#a251
Top 100 Authors last 30 days,"Du Bois, W. E. B. (William Edward Burghardt) (30824)",/browse/authors/d#a226
Top 100 Authors last 30 days,"Kemble, E. W. (Edward Windsor) (29952)",/browse/authors/k#a37155
Top 100 Authors last 30 days,"Defoe, Daniel (27278)",/browse/authors/d#a204
Top 100 Authors last 30 days,"Robertson, James Alexander (26852)",/browse/authors/r#a2297
Top 100 Authors last 30 days,"Locke, John (26508)",/browse/authors/l#a2447
Top 100 Authors last 30 days,"Scott, Walter (26471)",/browse/authors/s#a59
Top 100 Authors last 30 days,"Christie, Agatha (26460)",/browse/authors/c#a451
Top 100 Authors last 30 days,"Butler, Samuel (26411)",/browse/authors/b#a748
Top 100 Authors last 30 days,"Grimm, Wilhelm (25562)",/browse/authors/g#a972
Top 100 Authors last 30 days,"Grimm, Jacob (25562)",/browse/authors/g#a971
Top 100 Authors last 30 days,"Shaw, Bernard (25465)",/browse/authors/s#a467
Top 100 Authors last 30 days,"Burton, Richard Francis, Sir (25294)",/browse/authors/b#a898
Top 100 Authors last 30 days,"Levy, Oscar (24958)",/browse/authors/l#a7862
Top 100 Authors last 30 days,"Machiavelli, Niccolò (24941)",/browse/authors/m#a563
Top 100 Authors last 30 days,"Hobbes, Thomas (24832)",/browse/authors/h#a1133
Top 100 Authors last 30 days,"Leech, John (24789)",/browse/authors/l#a9473
Top 100 Authors last 30 days,"Kant, Immanuel (24777)",/browse/authors/k#a1426
Top 100 Authors last 30 days,"Brontë, Charlotte (24601)",/browse/authors/b#a408
Top 100 Authors last 30 days,"Maupassant, Guy de (24563)",/browse/authors/m#a306
Top 100 Authors last 30 days,"Blair, Emma Helen (24430)",/browse/authors/b#a2296
Top 100 Authors last 30 days,"Maude, Aylmer (24281)",/browse/authors/m#a4589
Top 100 Authors last 30 days,"Thoreau, Henry David (24262)",/browse/authors/t#a54
Top 100 Authors last 30 days,"Bourne, Edward Gaylord (23639)",/browse/authors/b#a5446
Top 100 Authors last 30 days,"Wharton, Edith (23345)",/browse/authors/w#a104
Top 100 Authors last 30 days,"Hall, J. Lesslie (John Lesslie) (23243)",/browse/authors/h#a6638
Top 100 Authors last 30 days,"Maude, Louise (23155)",/browse/authors/m#a500
Top 100 Authors last 30 days,"Bell, George (22366)",/browse/authors/b#a9248
Top 100 Authors last 30 days,Voltaire (21967),/browse/authors/v#a913
Top 100 Authors last 30 days,"Mill, John Stuart (21844)",/browse/authors/m#a1705
Top 100 Authors last 30 days,"Rackham, Arthur (21412)",/browse/authors/r#a6335
Top 100 Authors last 30 days,Aristotle (21297),/browse/authors/a#a2747
Top 100 Authors last 30 days,"Townsend, F. H. (Frederick Henry) (21097)",/browse/authors/t#a9854
Top 100 Authors last 30 days,"Murray, Gilbert (20897)",/browse/authors/m#a1681
Top 100 Authors last 30 days,"Augustine, Saint, Bishop of Hippo (20809)",/browse/authors/a#a1156
Top 100 Authors last 30 days,"Marriott, W. K. (William Kenaz) (20649)",/browse/authors/m#a564
